time,psi
18.08,0.923
18.11,0.923
18.14,0.923
18.18,0.923
18.21,0.923
18.24,0.923
18.27,0.923
18.3,0.923
18.34,0.923
18.37,0.923
18.4,0.923
18.43,0.923
18.46,0.923
18.5,0.923
18.53,0.923
18.56,0.923
18.59,0.923
18.62,0.923
18.66,0.923
18.69,0.923
18.72,0.923
18.75,0.923
18.78,0.923
18.82,0.923
18.85,0.923
18.88,0.923
18.91,0.923
18.94,0.923
18.98,0.923
19.01,0.923
19.04,0.923
19.07,0.923
19.1,0.923
19.14,0.923
19.17,0.923
19.2,0.923
19.23,0.923
19.26,0.923
19.3,0.923
19.33,0.923
19.36,0.923
19.39,0.923
19.42,0.923
19.46,0.923
19.49,0.923
19.52,0.923
19.55,0.923
19.58,0.923
19.62,0.923
19.65,0.923
19.68,0.923
19.71,0.923
19.74,0.923
19.78,0.923
19.81,0.923
19.84,0.923
19.87,0.923
19.9,0.923
19.94,0.923
19.97,0.923
20.0,0.923
20.03,0.923
20.06,0.923
20.1,0.923
20.13,0.923
20.16,0.923
20.19,0.923
20.22,0.923
20.26,0.923
20.29,0.923
20.32,0.923
20.35,0.923
20.38,0.923
20.42,0.923
20.45,0.923
20.48,0.923
20.51,0.923
20.54,0.923
20.58,0.923
20.61,0.923
20.64,0.923
20.67,0.923
20.7,0.923
20.74,0.923
20.77,0.923
20.8,0.923
20.83,0.923
20.86,0.923
20.9,0.923
20.93,0.923
20.96,0.923
20.99,0.923
21.02,0.923
21.06,0.923
21.09,0.923
21.12,0.923
21.15,0.923
21.18,0.923
21.22,0.923
21.25,0.923
21.28,0.923
21.31,0.923
21.34,0.923
21.38,0.923
21.41,0.923
21.44,0.923
21.47,0.923
21.5,0.923
21.54,0.923
21.57,0.923
21.6,0.923
21.63,0.923
21.66,0.923
21.7,0.923
21.73,0.923
21.76,0.923
21.79,0.923
21.82,0.923
21.86,0.923
21.89,0.923
21.92,0.923
21.95,0.923
21.98,0.923
22.02,0.787
22.05,0.787
22.08,0.787
22.11,0.787
22.14,0.787
22.18,0.787
22.21,0.787
22.24,0.787
22.27,0.787
22.3,0.787
22.34,0.787
22.37,0.787
22.4,0.787
22.43,0.787
22.46,0.787
22.5,0.787
22.53,0.787
22.56,0.787
22.59,0.787
22.62,0.787
22.66,0.787
22.69,0.787
22.72,0.787
22.75,0.787
22.78,0.787
22.82,0.787
22.85,0.787
22.88,0.787
22.91,0.787
22.94,0.787
22.98,0.787
23.01,0.787
23.04,0.787
23.07,0.787
23.1,0.787
23.14,0.787
23.17,0.787
23.2,0.787
23.23,0.787
23.26,0.787
23.3,0.787
23.33,0.787
23.36,0.787
23.39,0.787
23.42,0.787
23.46,0.787
23.49,0.787
23.52,0.787
23.55,0.787
23.58,0.787
23.62,0.787
23.65,0.787
23.68,0.787
23.71,0.787
23.74,0.787
23.78,0.787
23.81,0.787
23.84,0.787
23.87,0.787
23.9,0.787
23.94,0.787
23.97,0.787
24.0,0.787
24.03,0.787
24.06,0.787
24.1,0.787
24.13,0.787
24.16,0.787
24.19,0.787
